month,year,BORO,num_shootings
6,2019,QUEENS,9
6,2019,STATEN ISLAND,3
7,2006,BRONX,36
7,2006,BROOKLYN,75
7,2006,MANHATTAN,23
7,2006,QUEENS,30
7,2006,STATEN ISLAND,5
7,2007,BRONX,41
7,2007,BROOKLYN,79
7,2007,MANHATTAN,19
7,2007,QUEENS,20
7,2007,STATEN ISLAND,5
7,2008,BRONX,42
7,2008,BROOKLYN,84
7,2008,MANHATTAN,18
7,2008,QUEENS,22
7,2008,STATEN ISLAND,5
7,2009,BRONX,46
7,2009,BROOKLYN,85
7,2009,MANHATTAN,17
7,2009,QUEENS,16
7,2009,STATEN ISLAND,9
7,2010,BRONX,45
7,2010,BROOKLYN,82
7,2010,MANHATTAN,20
7,2010,QUEENS,18
7,2010,STATEN ISLAND,3
7,2011,BRONX,49
7,2011,BROOKLYN,74
7,2011,MANHATTAN,18
7,2011,QUEENS,31
7,2011,STATEN ISLAND,2
7,2012,BRONX,70
7,2012,BROOKLYN,59
7,2012,MANHATTAN,24
7,2012,QUEENS,26
7,2012,STATEN ISLAND,9
7,2013,BRONX,32
7,2013,BROOKLYN,40
7,2013,MANHATTAN,17
7,2013,QUEENS,18
7,2013,STATEN ISLAND,5
7,2014,BRONX,37
7,2014,BROOKLYN,56
7,2014,MANHATTAN,10
7,2014,QUEENS,26
7,2014,STATEN ISLAND,5
7,2015,BRONX,38
7,2015,BROOKLYN,56
7,2015,MANHATTAN,13
7,2015,QUEENS,7
7,2015,STATEN ISLAND,3
7,2016,BRONX,20
7,2016,BROOKLYN,46
7,2016,MANHATTAN,9
7,2016,QUEENS,18
7,2016,STATEN ISLAND,4
7,2017,BRONX,33
7,2017,BROOKLYN,25
7,2017,MANHATTAN,9
7,2017,QUEENS,10
7,2017,STATEN ISLAND,2
7,2018,BRONX,17
7,2018,BROOKLYN,43
7,2018,MANHATTAN,11
7,2018,QUEENS,17
7,2018,STATEN ISLAND,1
7,2019,BRONX,29
7,2019,BROOKLYN,29
7,2019,MANHATTAN,15
7,2019,QUEENS,14
7,2019,STATEN ISLAND,1
8,2006,BRONX,41
8,2006,BROOKLYN,78
8,2006,MANHATTAN,23
8,2006,QUEENS,29
8,2006,STATEN ISLAND,6
8,2007,BRONX,48
8,2007,BROOKLYN,62
8,2007,MANHATTAN,24
8,2007,QUEENS,20
8,2007,STATEN ISLAND,7
8,2008,BRONX,56
8,2008,BROOKLYN,65
8,2008,MANHATTAN,20
8,2008,QUEENS,19
8,2008,STATEN ISLAND,7
8,2009,BRONX,52
8,2009,BROOKLYN,74
8,2009,MANHATTAN,22
8,2009,QUEENS,18
8,2009,STATEN ISLAND,4
8,2010,BRONX,47
8,2010,BROOKLYN,72
8,2010,MANHATTAN,23
8,2010,QUEENS,20
8,2010,STATEN ISLAND,1
8,2011,BRONX,52
8,2011,BROOKLYN,78
8,2011,MANHATTAN,26
8,2011,QUEENS,17
8,2011,STATEN ISLAND,6
8,2012,BRONX,34
8,2012,BROOKLYN,63
8,2012,MANHATTAN,15
8,2012,QUEENS,22
8,2012,STATEN ISLAND,1
8,2013,BRONX,36
8,2013,BROOKLYN,59
8,2013,MANHATTAN,13
8,2013,QUEENS,26
8,2013,STATEN ISLAND,2
8,2014,BRONX,42
8,2014,BROOKLYN,54
8,2014,MANHATTAN,16
8,2014,QUEENS,19
8,2014,STATEN ISLAND,4
8,2015,BRONX,26
8,2015,BROOKLYN,60
8,2015,MANHATTAN,5
8,2015,QUEENS,29
8,2015,STATEN ISLAND,2
8,2016,BRONX,39
